composer,piece,n,S,A,W
Beethoven,30-1_reviewed,208,0.32211538461538464,0.3894230769230769,0.28846153846153844
Beethoven,30-2_reviewed,260,0.36923076923076925,0.4230769230769231,0.2076923076923077
Beethoven,30-3_reviewed,416,0.5504807692307693,0.2644230769230769,0.18509615384615385
Beethoven,31-1_reviewed,231,0.4675324675324675,0.29004329004329005,0.24242424242424243
Beethoven,31-2_reviewed,153,0.40522875816993464,0.3790849673202614,0.21568627450980393
Beethoven,31-3_reviewed,464,0.47629310344827586,0.3146551724137931,0.20905172413793102
Beethoven,32-1_reviewed,383,0.45691906005221933,0.3394255874673629,0.20365535248041775
Beethoven,32-2_reviewed,608,0.4292763157894737,0.26644736842105265,0.3042763157894737
Beethoven,n01op18-1_01_reviewed,269,0.4721189591078067,0.3382899628252788,0.1895910780669145
Beethoven,n01op18-1_02_reviewed,196,0.4744897959183674,0.3163265306122449,0.20918367346938777
Beethoven,n01op18-1_03_reviewed,137,0.45985401459854014,0.30656934306569344,0.23357664233576642
Beethoven,n01op18-1_04_reviewed,388,0.5515463917525774,0.14432989690721648,0.30412371134020616
Beethoven,n02op18-2_01_reviewed,382,0.5392670157068062,0.15968586387434555,0.3010471204188482
Beethoven,n02op18-2_02_reviewed,117,0.5128205128205128,0.15384615384615385,0.3333333333333333
Beethoven,n02op18-2_03_reviewed,93,0.6021505376344086,0.13978494623655913,0.25806451612903225
Beethoven,n02op18-2_04_reviewed,319,0.54858934169279,0.20376175548589343,0.2476489028213166
Beethoven,n03op18-3_01_reviewed,279,0.5161290322580645,0.23655913978494625,0.24731182795698925
Beethoven,n03op18-3_02_reviewed,288,0.46875,0.34375,0.1875
Beethoven,n03op18-3_03_reviewed,191,0.4712041884816754,0.31413612565445026,0.21465968586387435
Beethoven,n03op18-3_04_reviewed,413,0.513317191283293,0.3026634382566586,0.18401937046004843
Beethoven,n04op18-4_01_reviewed,384,0.4322916666666667,0.2630208333333333,0.3046875
Beethoven,n04op18-4_02_reviewed,250,0.592,0.18,0.228
Beethoven,n04op18-4_03_reviewed,99,0.5353535353535354,0.2222222222222222,0.24242424242424243
Beethoven,n04op18-4_04_reviewed,294,0.5340136054421769,0.23809523809523808,0.22789115646258504
Beethoven,n05op18-5_01_reviewed,316,0.5189873417721519,0.2310126582278481,0.25
Beethoven,n05op18-5_02_reviewed,111,0.5765765765765766,0.15315315315315314,0.2702702702702703
Beethoven,n05op18-5_03_reviewed,162,0.5,0.15432098765432098,0.345679012345679
Beethoven,n05op18-5_04_reviewed,420,0.4785714285714286,0.26666666666666666,0.25476190476190474
Beethoven,n06op18-6_01_reviewed,278,0.5359712230215827,0.1223021582733813,0.34172661870503596
Beethoven,n06op18-6_02_reviewed,215,0.4558139534883721,0.2837209302325581,0.26046511627906976
Beethoven,n06op18-6_03_reviewed,115,0.5130434782608696,0.26956521739130435,0.21739130434782608
